time (sec)	X tilt (m/s^2)	Y tilt (m/s^2)	Z tilt (m/s^2)
12.5716	6.25308	-7.24909	-1.37258
12.5816	6.2488	-7.25102	-1.37673
12.5916	6.2444	-7.25302	-1.38082
12.6016	6.2399	-7.25512	-1.38485
12.6116	6.23528	-7.2573	-1.38882
12.6216	6.23055	-7.25957	-1.39274
12.6316	6.22571	-7.26193	-1.3966
12.6416	6.22076	-7.26437	-1.4004
12.6516	6.2157	-7.2669	-1.40414
12.6616	6.21053	-7.26952	-1.40783
12.6716	6.20525	-7.27223	-1.41145
12.6816	6.19987	-7.27502	-1.41502
12.6916	6.19437	-7.2779	-1.41853
12.7016	6.18878	-7.28086	-1.42198
12.7116	6.18307	-7.28391	-1.42537
12.7216	6.17726	-7.28705	-1.4287
12.7316	6.17134	-7.29027	-1.43198
12.7416	6.16532	-7.29358	-1.43519
12.7516	6.15919	-7.29698	-1.43835
12.7617	6.15296	-7.30046	-1.44145
12.7717	6.14663	-7.30403	-1.44449
12.7817	6.1402	-7.30768	-1.44747
12.7917	6.13366	-7.31141	-1.4504
12.8017	6.12703	-7.31523	-1.45326
12.8117	6.12029	-7.31914	-1.45607
12.8217	6.11346	-7.32312	-1.45882
12.8317	6.10653	-7.32719	-1.46152
12.8417	6.09951	-7.33134	-1.46416
12.8517	6.09239	-7.33558	-1.46674
12.8617	6.08518	-7.33989	-1.46926
12.8717	6.07787	-7.34428	-1.47174
12.8817	6.07047	-7.34875	-1.47415
12.8917	6.06298	-7.35331	-1.47652
12.9017	6.0554	-7.35793	-1.47883
12.9117	6.04773	-7.36264	-1.48108
12.9217	6.03998	-7.36742	-1.48328
12.9317	6.03213	-7.37228	-1.48543
12.9417	6.0242	-7.37722	-1.48752
12.9517	6.01619	-7.38222	-1.48956
12.9617	6.0081	-7.3873	-1.49155
12.9717	5.99993	-7.39246	-1.49349
12.9817	5.99169	-7.39769	-1.49539
12.9917	5.98336	-7.40298	-1.49723
13.0017	5.97496	-7.40835	-1.49902
13.0117	5.96648	-7.41379	-1.50077
13.0217	5.95791	-7.41928	-1.50246
13.0317	5.94928	-7.42484	-1.50411
13.0417	5.94058	-7.43047	-1.50571
13.0517	5.93182	-7.43616	-1.50726
13.0617	5.92299	-7.44191	-1.50876
13.0717	5.91409	-7.44773	-1.51022
13.0817	5.90513	-7.45361	-1.51164
13.0917	5.89611	-7.45954	-1.51301
13.1017	5.88703	-7.46554	-1.51434
13.1117	5.87789	-7.47159	-1.51563
13.1217	5.86869	-7.47769	-1.51688
13.1317	5.85944	-7.48385	-1.51809
13.1417	5.85013	-7.49006	-1.51925
13.1517	5.84077	-7.49632	-1.52038
13.1617	5.83136	-7.50263	-1.52146
13.1717	5.8219	-7.50899	-1.52251
13.1817	5.81239	-7.51539	-1.52351
13.1917	5.80284	-7.52184	-1.52448
13.2017	5.79324	-7.52834	-1.52542
13.2117	5.7836	-7.53487	-1.52631
13.2217	5.77393	-7.54145	-1.52718
13.2317	5.76422	-7.54807	-1.528
13.2417	5.75447	-7.55473	-1.5288
13.2517	5.74469	-7.56142	-1.52956
13.2617	5.73487	-7.56814	-1.53029
13.2717	5.72503	-7.5749	-1.53099
13.2817	5.71516	-7.5817	-1.53165
13.2917	5.70525	-7.58852	-1.53229
13.3017	5.69532	-7.59538	-1.5329
13.3117	5.68537	-7.60225	-1.53347
13.3217	5.6754	-7.60916	-1.53402
13.3317	5.66541	-7.61608	-1.53455
13.3417	5.6554	-7.62302	-1.53504
13.3517	5.64537	-7.62998	-1.5355
13.3617	5.63534	-7.63696	-1.53594
13.3717	5.62529	-7.64396	-1.53635
13.3817	5.61523	-7.65098	-1.53674
13.3917	5.60517	-7.65802	-1.53711
13.4017	5.5951	-7.66506	-1.53745
13.4117	5.58502	-7.67212	-1.53777
13.4217	5.57494	-7.67918	-1.53807
13.4317	5.56486	-7.68626	-1.53835
13.4417	5.55478	-7.69333	-1.53861
13.4517	5.54471	-7.70041	-1.53884
13.4617	5.53463	-7.70749	-1.53906
13.4717	5.52457	-7.71458	-1.53926
13.4817	5.51451	-7.72166	-1.53944
13.4917	5.50446	-7.72874	-1.53961
13.5017	5.49442	-7.73582	-1.53975
13.5117	5.4844	-7.7429	-1.53988
13.5217	5.47439	-7.74996	-1.54
13.5318	5.46439	-7.75702	-1.5401
13.5418	5.45441	-7.76407	-1.54018
13.5518	5.44445	-7.77111	-1.54025
13.5618	5.43451	-7.77813	-1.54031
13.5718	5.4246	-7.78514	-1.54036
13.5818	5.41471	-7.79214	-1.54039
13.5918	5.40484	-7.79911	-1.54041
13.6018	5.395	-7.80607	-1.54042
13.6118	5.3852	-7.81301	-1.54042
13.6218	5.37542	-7.81993	-1.54041
13.6318	5.36567	-7.82682	-1.54038
13.6418	5.35596	-7.83369	-1.54035
13.6518	5.34628	-7.84053	-1.54031
13.6618	5.33663	-7.84735	-1.54026
13.6718	5.32703	-7.85414	-1.54021
13.6818	5.31746	-7.8609	-1.54014
13.6918	5.30793	-7.86763	-1.54008
13.7018	5.29844	-7.87433	-1.54
13.7118	5.289	-7.88099	-1.53992
13.7218	5.27959	-7.88763	-1.53984
13.7318	5.27023	-7.89422	-1.53974
13.7418	5.26092	-7.90079	-1.53965
13.7518	5.25165	-7.90731	-1.53954
13.7618	5.24243	-7.91379	-1.53944
13.7718	5.23326	-7.92023	-1.53933
13.7818	5.22414	-7.92664	-1.53921
13.7918	5.21508	-7.933	-1.5391
13.8018	5.20606	-7.93932	-1.53898
13.8118	5.1971	-7.94559	-1.53886
13.8218	5.1882	-7.95182	-1.53874
13.8318	5.17934	-7.95801	-1.53862
13.8418	5.17054	-7.96415	-1.5385
13.8518	5.1618	-7.97024	-1.53837
13.8618	5.15312	-7.97629	-1.53825
13.8718	5.14449	-7.98229	-1.53812
13.8818	5.13592	-7.98823	-1.53799
13.8918	5.12741	-7.99413	-1.53786
13.9018	5.11896	-7.99998	-1.53773
13.9118	5.11057	-8.00578	-1.5376
13.9218	5.10225	-8.01153	-1.53747
13.9318	5.09399	-8.01722	-1.53735
13.9418	5.08579	-8.02287	-1.53722
13.9518	5.07765	-8.02846	-1.5371
13.9618	5.06958	-8.03399	-1.53697
13.9718	5.06158	-8.03948	-1.53685
13.9818	5.05364	-8.0449	-1.53673
13.9918	5.04577	-8.05028	-1.53661
14.0018	5.03797	-8.0556	-1.5365
14.0118	5.03023	-8.06086	-1.53638
14.0218	5.02255	-8.06607	-1.53627
14.0318	5.01494	-8.07122	-1.53615
14.0418	5.0074	-8.07632	-1.53604
14.0518	4.99992	-8.08136	-1.53592
14.0618	4.99252	-8.08635	-1.5358
14.0718	4.98519	-8.09127	-1.53569
14.0818	4.97792	-8.09614	-1.53558
14.0918	4.97073	-8.10095	-1.53547
14.1018	4.9636	-8.10571	-1.53536
14.1118	4.95655	-8.11041	-1.53526
14.1218	4.94956	-8.11506	-1.53515
14.1318	4.94264	-8.11964	-1.53504
14.1418	4.9358	-8.12417	-1.53494
14.1518	4.92902	-8.12865	-1.53483
14.1618	4.92232	-8.13307	-1.53472
14.1718	4.91568	-8.13743	-1.53461
14.1818	4.90912	-8.14174	-1.5345
14.1918	4.90262	-8.14599	-1.53439
14.2018	4.8962	-8.15018	-1.53428
14.2118	4.88985	-8.15432	-1.53416
14.2218	4.88357	-8.15841	-1.53405
14.2318	4.87736	-8.16244	-1.53393
14.2418	4.87122	-8.16642	-1.53381
14.2518	4.86515	-8.17034	-1.53369
14.2618	4.85915	-8.17421	-1.53357
14.2718	4.85323	-8.17802	-1.53344
14.2818	4.84737	-8.18178	-1.5333
14.2918	4.84158	-8.18549	-1.53316
14.3019	4.83587	-8.18915	-1.53302
14.3119	4.83022	-8.19275	-1.53287
14.3219	4.82464	-8.19631	-1.53272
14.3319	4.81914	-8.19981	-1.53256
14.3419	4.8137	-8.20326	-1.53239
14.3519	4.80833	-8.20666	-1.53222
14.3619	4.80303	-8.21001	-1.53204
14.3719	4.79781	-8.21331	-1.53186
14.3819	4.79265	-8.21657	-1.53166
14.3919	4.78755	-8.21977	-1.53146
14.4019	4.78253	-8.22293	-1.53125
14.4119	4.77758	-8.22604	-1.53103
14.4219	4.77269	-8.2291	-1.5308
14.4319	4.76787	-8.23212	-1.53056
14.4419	4.76311	-8.23509	-1.53031
14.4519	4.75843	-8.23802	-1.53005
14.4619	4.75381	-8.2409	-1.52977
14.4719	4.74926	-8.24373	-1.52949
14.4819	4.74477	-8.24653	-1.52919
14.4919	4.74035	-8.24928	-1.52888
14.5019	4.73599	-8.25198	-1.52856
14.5119	4.7317	-8.25465	-1.52823
14.5219	4.72748	-8.25727	-1.52788
14.5319	4.72331	-8.25985	-1.52752
14.5419	4.71922	-8.26239	-1.52714
14.5519	4.71518	-8.26489	-1.52675
14.5619	4.71121	-8.26735	-1.52634
14.5719	4.70731	-8.26977	-1.52592
14.5819	4.70346	-8.27215	-1.52548
14.5919	4.69968	-8.27449	-1.52503
14.6019	4.69596	-8.27679	-1.52456
14.6119	4.69231	-8.27906	-1.52408
14.6219	4.68871	-8.28128	-1.52357
14.6319	4.68518	-8.28347	-1.52306
14.6419	4.6817	-8.28563	-1.52252
14.6519	4.67829	-8.28774	-1.52196
14.6619	4.67494	-8.28982	-1.52139
14.6719	4.67165	-8.29187	-1.5208
14.6819	4.66841	-8.29387	-1.52018
14.6919	4.66524	-8.29585	-1.51955
14.7019	4.66212	-8.29778	-1.51891
14.7119	4.65906	-8.29969	-1.51824
14.7219	4.65607	-8.30155	-1.51755
14.7319	4.65312	-8.30339	-1.51685
14.7419	4.65024	-8.30519	-1.51613
14.7519	4.64742	-8.30695	-1.51538
14.7619	4.64465	-8.30868	-1.51462
14.7719	4.64194	-8.31038	-1.51384
14.7819	4.63928	-8.31204	-1.51303
14.7919	4.63668	-8.31367	-1.51221
14.8019	4.63414	-8.31526	-1.51136
14.8119	4.63165	-8.31682	-1.51049
14.8219	4.62922	-8.31834	-1.50959
14.8319	4.62685	-8.31983	-1.50868
14.8419	4.62453	-8.32129	-1.50776
14.8519	4.62226	-8.32271	-1.50681
14.8619	4.62006	-8.3241	-1.50584
14.8719	4.6179	-8.32546	-1.50485
14.8819	4.6158	-8.32679	-1.50384
