time (sec)	X vibration (m/s^2)	Y vibration (m/s^2)	Z vibration (m/s^2)
5.92	1.63163	-0.405038	1.48025
5.929	1.01126	0.0539471	1.39412
5.94	0.386422	0.0671851	1.04849
5.95	-0.303605	-0.0412818	0.753523
5.959	-0.230913	-0.0846187	0.763788
5.969	-0.510887	-0.113357	0.601028
5.98	-0.442214	-0.102967	0.343576
5.989	-0.11258	-0.0338728	0.0955971
6	0.278578	0.0242104	-0.10014
6.01	0.475486	0.0024073	-0.210949
6.019	-0.271873	-0.0279996	-0.458454
6.03	-0.783711	0.104139	-0.504775
6.039	-1.12555	0.115673	-0.670622
6.049	-1.22623	0.171421	-0.799938
6.06	-1.19989	0.274393	-0.865693
6.069	-1.08267	0.323584	-0.823748
6.079	-1.06228	0.29612	-0.773409
6.089	-0.925696	0.382509	-0.689961
6.099	-0.812372	0.466106	-0.64571
6.11	-0.715453	0.574437	-0.565039
6.12	-0.479092	0.566073	-0.533919
6.13	-0.20073	0.460761	-0.439853
6.14	0.139053	0.267026	-0.321162
6.149	0.262587	0.119376	-0.266342
6.16	0.407018	-0.0805788	-0.0156174
6.17	0.379312	-0.0603325	0.193326
6.179	0.353231	0.0467097	0.437485
6.19	0.637367	0.0404023	0.805002
6.199	0.788952	0.00426852	0.821947
6.21	0.936813	0.0279093	0.66482
6.219	0.87937	0.0664978	0.674011
6.23	1.01465	-0.0530765	0.605819
6.239	1.05645	-0.205288	0.382599
6.25	0.835962	-0.166482	0.263243
6.26	0.389555	-0.23422	0.272993
6.269	-0.0348105	-0.283077	0.189068
6.28	-0.514047	-0.294198	0.144211
6.29	-0.869018	-0.244422	0.228307
6.299	-0.870408	-0.256485	-0.0635177
6.31	-0.746151	-0.124768	-0.406298
6.319	-0.779854	-0.0865975	-0.388032
6.33	-0.68224	0.0493088	-0.707451
6.339	-0.216676	0.0268993	-0.800599
6.35	-0.091758	0.0444741	-0.666667
6.36	-0.0950072	-0.00314306	-0.380553
6.369	-0.129796	-0.126056	-0.160811
6.38	-0.0023761	-0.0862881	-0.0394853
6.39	0.0898866	-0.0843506	0.0715707
6.399	0.286374	-0.0392083	0.194408
6.41	0.237435	0.0288109	0.130994
6.419	0.191294	0.0134542	-0.0976626
6.429	0.186442	0.0326228	-0.0684765
6.439	0.14424	-0.0212633	-0.166735
6.45	0.303548	0.0866025	-0.183178
6.46	0.451153	0.0732754	0.0080567
6.469	0.418333	-0.000967124	0.17598
6.48	0.422052	-0.0672348	0.373911
6.49	0.582845	0.0487908	0.578551
6.499	0.457695	-0.00429299	0.500094
6.51	0.054805	0.132706	0.38351
6.519	-0.219706	0.184349	0.24161
6.529	-0.441692	0.16965	0.111592
6.539	-0.470333	0.141402	0.0635056
6.55	-0.350955	0.100879	-0.0945674
6.559	-0.345093	0.116222	-0.0510931
6.57	-0.35245	0.112522	-0.0739057
6.58	-0.38316	-0.00364145	0.0263135
6.59	-0.321977	-0.168801	0.0222905
6.6	-0.223204	-0.207179	0.0975782
6.609	-0.12406	-0.163781	0.18397
6.619	0.0817934	-0.0866764	0.225243
6.63	0.0942378	-0.0802903	0.0333992
6.64	0.00414868	-0.20277	0.000966484
6.649	-0.0582138	-0.280617	-0.0390452
6.66	-0.103324	-0.229403	-0.238615
6.669	-0.0750877	-0.227396	-0.189161
6.68	0.356626	0.0445429	-0.339446
6.69	0.526688	0.033621	-0.404534
6.699	0.551845	0.033111	-0.359825
6.71	0.466105	-0.0588313	-0.407565
6.719	0.33155	-0.133815	-0.335278
6.73	0.179556	-0.247984	-0.181631
6.74	0.114831	-0.2733	-0.13395
6.749	-0.104978	-0.058058	-0.0311497
6.76	-0.26292	0.032957	0.277708
6.77	-0.307331	0.11177	0.318078
6.779	-0.441215	0.172249	0.412029
6.79	-0.553714	0.150223	0.235979
6.8	-0.419982	0.0965458	-0.0325794
6.809	-0.35113	0.0812585	-0.0153181
6.819	-0.0770552	0.0735134	-0.0134385
